,Produit,Baseline (14-Feb-2020),Price (Latest date),Variation,Année,Mois
112,Fruit et Légume,0.8,0.8,0.0,2020,02
113,Fruit et Légume,5793.67,5793.67,0.0,2020,02
114,Fruit et Légume,133.31,133.31,0.0,2020,02
115,Fruit et Légume,769.6,769.6,0.0,2020,02
116,Fruit et Légume,73.96,73.96,0.0,2020,02
117,Fruit et Légume,2971.77,2971.77,0.0,2020,02
118,Fruit et Légume,9.74,9.74,0.0,2020,02
119,Fruit et Légume,27.92,27.92,0.0,2020,02
120,Fruit et Légume,457.04,457.04,0.0,2020,02
121,Fruit et Légume,1054.34,1054.34,0.0,2020,02
122,Fruit et Légume,6.37,6.37,0.0,2020,02
123,Fruit et Légume,2.26,2.26,0.0,2020,02
124,Fruit et Légume,28.28,28.28,0.0,2020,02
125,Fruit et Légume,199.38,199.38,0.0,2020,02
126,Fruit et Légume,3.54,3.54,0.0,2020,02
127,Fruit et Légume,0.89,0.89,0.0,2020,02
128,Fruit et Légume,170.66,170.66,0.0,2020,02
129,Fruit et Légume,3.27,3.27,0.0,2020,02
130,Fruit et Légume,5.32,5.32,0.0,2020,02
131,Fruit et Légume,120.53,120.53,0.0,2020,02
132,Fruit et Légume,10.45,10.45,0.0,2020,02
133,Fruit et Légume,2.97,2.97,0.0,2020,02
134,Fruit et Légume,5.73,5.73,0.0,2020,02
135,Fruit et Légume,1.54,1.54,0.0,2020,02
136,Fruit et Légume,11181.28,11181.28,0.0,2020,02
137,Fruit et Légume,6.2,6.2,0.0,2020,02
138,Fruit et Légume,7.14,7.14,0.0,2020,02
139,Fruit et Légume,2.33,2.33,0.0,2020,02
140,Fruit et Légume,3.67,3.67,0.0,2020,02
141,Fruit et Légume,86.88,86.88,0.0,2020,02
142,Fruit et Légume,3893.65,3893.65,0.0,2020,02
143,Fruit et Légume,6.95,6.95,0.0,2020,02
144,Fruit et Légume,7.47,7.47,0.0,2020,02
145,Fruit et Légume,1134.81,1134.81,0.0,2020,02
146,Fruit et Légume,4.56,4.56,0.0,2020,02
147,Fruit et Légume,3.24,3.24,0.0,2020,02
148,Fruit et Légume,3.15,3.15,0.0,2020,02
149,Fruit et Légume,4.67,4.67,0.0,2020,02
150,Fruit et Légume,79.91,79.91,0.0,2020,02
151,Fruit et Légume,28.45,28.45,0.0,2020,02
152,Fruit et Légume,1.45,1.45,0.0,2020,02
153,Fruit et Légume,1.34,1.34,0.0,2020,02
154,Fruit et Légume,24.97,24.97,0.0,2020,02
155,Fruit et Légume,19.2,19.2,0.0,2020,02
156,Fruit et Légume,39.88,39.88,0.0,2020,02
157,Fruit et Légume,0.57,0.57,0.0,2020,02
158,Fruit et Légume,2709.1,2709.1,0.0,2020,02
159,Fruit et Légume,84.24,84.24,0.0,2020,02
160,Fruit et Légume,12.5,12.5,0.0,2020,02
161,Fruit et Légume,5.77,5.77,0.0,2020,02
162,Fruit et Légume,23.37,23.37,0.0,2020,02
163,Fruit et Légume,4.13,4.13,0.0,2020,02
164,Fruit et Légume,4.92,4.92,0.0,2020,02
165,Fruit et Légume,134.11,134.11,0.0,2020,02
166,Fruit et Légume,6483.84,6483.84,0.0,2020,02
167,Fruit et Légume,7633.79,7633.79,0.0,2020,02
168,Fruit et Légume,16.98,16.98,0.0,2020,02
169,Fruit et Légume,64.13,64.13,0.0,2020,02
170,Fruit et Légume,4.48,4.48,0.0,2020,02
171,Fruit et Légume,0.97,0.97,0.0,2020,02
172,Fruit et Légume,3.78,3.78,0.0,2020,02
173,Fruit et Légume,6.31,6.31,0.0,2020,02
174,Fruit et Légume,64763.43,64763.43,0.0,2020,02
175,Fruit et Légume,349.68,349.68,0.0,2020,02
176,Fruit et Légume,816.74,816.74,0.0,2020,02
177,Fruit et Légume,22.27,22.27,0.0,2020,02
178,Fruit et Légume,22.63,22.63,0.0,2020,02
179,Fruit et Légume,3.75,3.75,0.0,2020,02
180,Fruit et Légume,4.07,4.08,0.25,2020,04
181,Fruit et Légume,7.72,7.72,0.0,2020,04
182,Fruit et Légume,4.83,5.62,16.36,2020,04
183,Fruit et Légume,66.22,70.83,6.96,2020,04
184,Fruit et Légume,1.8,1.87,3.89,2020,04
185,Fruit et Légume,98.08,101.2,3.18,2020,04
186,Fruit et Légume,1.5,1.5,0.0,2020,04
187,Fruit et Légume,7.92,8.09,2.15,2020,04
188,Fruit et Légume,69.27,70.72,2.09,2020,04
189,Fruit et Légume,456.41,452.67,-0.82,2020,04
190,Fruit et Légume,4.34,4.39,1.15,2020,04
191,Fruit et Légume,2.25,2.26,0.59,2020,04
192,Fruit et Légume,1.36,1.46,7.35,2020,04
193,Fruit et Légume,2.17,2.25,3.69,2020,04
194,Fruit et Légume,1830.12,1833.34,0.18,2020,04
195,Fruit et Légume,163.92,166.27,1.43,2020,04
196,Fruit et Légume,1.88,1.92,2.13,2020,04
197,Fruit et Légume,0.84,0.88,4.76,2020,04
198,Fruit et Légume,3.77,3.77,0.0,2020,04
199,Fruit et Légume,1.72,1.74,1.16,2020,04
200,Fruit et Légume,2.24,2.57,14.88,2020,04
201,Fruit et Légume,3.0,3.0,0.0,2020,04
202,Fruit et Légume,9.24,12.99,40.58,2020,04
203,Fruit et Légume,15.13,16.38,8.26,2020,04
204,Fruit et Légume,5.89,6.19,5.09,2020,04
205,Fruit et Légume,8.0,8.58,7.25,2020,04
206,Fruit et Légume,17.85,20.0,12.04,2020,04
207,Fruit et Légume,3.91,4.08,4.35,2020,04
208,Fruit et Légume,3.94,4.01,1.78,2020,04
209,Fruit et Légume,1079.99,1124.57,4.13,2020,04
210,Fruit et Légume,12.95,13.51,4.32,2020,04
211,Fruit et Légume,1502.14,1533.34,2.08,2020,04
212,Fruit et Légume,1351.27,1733.34,28.27,2020,04
213,Fruit et Légume,4.34,4.34,0.0,2020,04
214,Fruit et Légume,6.21,6.66,7.25,2020,04
215,Fruit et Légume,6043.18,6339.34,4.9,2020,04
216,Fruit et Légume,273.47,275.0,0.56,2020,04
217,Fruit et Légume,2313.64,2454.1,6.07,2020,04
218,Fruit et Légume,4.22,4.23,0.24,2020,04
219,Fruit et Légume,6.48,6.5,0.31,2020,04
220,Fruit et Légume,8.77,8.93,1.82,2020,04
221,Fruit et Légume,1.81,1.87,3.31,2020,04
222,Fruit et Légume,30.85,31.92,3.47,2020,04
